week,n,mean,median,sd,age,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-33,-32)",20046,1.95155067926965,1.89999997615814,0.462067949157366,29.876997716895,0.000341061617772774,0.00341061617772774,22.8624000549316,20.519100189209,26.5901753902435,1.60000002384186,2.28999996185303,0.401862489187052,0.370786666870117,0.191944751888514,0.591861069202423
"[-32,-31)",21446,1.93100779820168,1.89999997615814,0.464459174376335,29.9489155251142,0.000341882597318655,0.00341882597318655,23.0206003189087,20.5457000732422,26.775899887085,1.60000002384186,2.24000000953674,0.39195126536995,0.35911163687706,0.177731603384018,0.583158850669861
"[-31,-30)",20805,1.91371689086865,1.88999998569489,0.460260561557602,30.0535388127854,0.000343076927086591,0.00343076927086591,23.2334995269775,20.7234001159668,27.2045497894287,1.5900000333786,2.20000004768372,0.382919363344723,0.345783233642578,0.173898428678513,0.56757527589798
"[-30,-29)",18454,1.89771675151951,1.85000002384186,0.459133394871349,30.0039383561644,0.000342510711828361,0.00342510711828361,23.4089498519898,20.593150138855,27.3437995910645,1.54999995231628,2.20000004768372,0.37413090344461,0.33781635761261,0.167459979653358,0.55978524684906
"[-29,-28)",16431,1.87731239271646,1.80999994277954,0.450955364924763,29.9954337899543,0.000342413627739205,0.00342413627739205,23.6613998413086,20.8325004577637,27.8159008026123,1.50999999046326,2.20000004768372,0.363173965497403,0.321592390537262,0.160246267914772,0.544928371906281
"[-28,-27)",14376,1.86686108462641,1.79999995231628,0.451772516524464,29.9768835616438,0.000342201867142053,0.00342201867142053,23.8281002044678,20.8299999237061,28.0670251846314,1.5,2.16000008583069,0.357198523142009,0.311374455690384,0.153963208198547,0.533651649951935
"[-27,-26)",12857,1.86190440590407,1.79999995231628,0.457045601637381,29.924200913242,0.000341600467046142,0.00341600467046142,24.005500793457,20.9643993377686,28.0083999633789,1.5,2.17000007629395,0.354551660902395,0.308505028486252,0.14531446993351,0.533651649951935
"[-26,-25)",11252,1.8593574447211,1.79999995231628,0.448425537100782,29.8718607305936,0.000341002976376639,0.00341002976376639,23.8752498626709,21.0771999359131,28.0791851043701,1.5,2.16000008583069,0.352697778121614,0.308505028486252,0.146643042564392,0.524900168180466
"[-25,-24)",12067,1.84131515303197,1.79999995231628,0.454673199046762,29.9357305936073,0.00034173208440191,0.0034173208440191,23.6145992279053,20.7611999511719,27.5518999099731,1.5,2.11999988555908,0.344333730697224,0.295504748821259,0.13258271664381,0.520857632160187
"[-24,-23)",15744,1.83417079159687,1.79999995231628,0.446348774237412,29.951598173516,0.000341913221158858,0.00341913221158858,23.4375,20.7611999511719,27.0402498245239,1.5,2.09999990463257,0.34149355496286,0.289787441492081,0.138824850320816,0.504494071006775
"[-23,-22)",17890,1.82953884506306,1.79999995231628,0.445094441151984,29.9926369863014,0.000342381700756865,0.00342381700756865,23.1473007202148,20.7031002044678,27.1013245582581,1.5,2.09999990463257,0.339332052206443,0.289787441492081,0.138824850320816,0.502611622214317
"[-22,-21)",16441,1.83590768584079,1.79999995231628,0.447049517946627,30.0614155251142,0.000343166843893997,0.00343166843893997,23.4221000671387,20.7036991119385,27.2443008422852,1.5,2.09999990463257,0.342945569857597,0.293791145086288,0.138824850320816,0.506934642791748
"[-21,-20)",13439,1.83320633609679,1.79999995231628,0.446442292662327,30.0343607305936,0.00034285799920769,0.0034285799920769,23.7812004089356,20.7031002044678,28.0438995361328,1.5,2.09999990463257,0.341027977973039,0.289787441492081,0.138824850320816,0.502906203269959
"[-20,-19)",10763,1.83811483406549,1.79999995231628,0.454462247252328,29.9986301369863,0.000342450115719022,0.00342450115719022,23.6203002929688,20.7611999511719,28.0002994537354,1.5,2.09999990463257,0.343243604204032,0.295504748821259,0.138824850320816,0.50991827249527
"[-19,-18)",9345,1.83585589045783,1.79999995231628,0.451032386725646,29.9955479452055,0.000342414930881341,0.00342414930881341,23.6545248031616,20.7013750076294,28.0403995513916,1.5,2.09999990463257,0.342157930371689,0.295504748821259,0.132765159010887,0.508433878421783
"[-18,-17)",10395,1.81765030951039,1.76999998092651,0.450912289971625,29.8651826484018,0.000340926742561665,0.00340926742561665,23.5293998718262,20.7611999511719,28.0277004241943,1.5,2.09999990463257,0.331930478027215,0.280734598636627,0.128596529364586,0.501423478126526
"[-17,-16)",16504,1.76197588159529,1.70000004768372,0.431955294277969,29.8791666666667,0.000341086377473364,0.00341086377473364,23.4375,20.8208999633789,27.557300567627,1.4099999666214,2,0.302351399459477,0.237576901912689,0.115567117929459,0.445355951786041
"[-16,-15)",26160,1.74021846057352,1.70000004768372,0.420261428513326,29.8727739726027,0.00034101340151373,0.0034101340151373,23.4370250701904,20.8889751434326,27.3437995910645,1.39999997615814,2,0.291733591961504,0.232381403446198,0.112218946218491,0.432108193635941
"[-15,-14)",33239,1.72821018171842,1.69000005722046,0.414726733633128,29.9490867579909,0.000341884552031859,0.00341884552031859,23.3726005554199,20.7611999511719,27.1110992431641,1.39999997615814,2,0.28609463456229,0.226230934262276,0.105588678270578,0.424381524324417
"[-14,-13)",32742,1.73882963505773,1.70000004768372,0.419986494350461,29.9928082191781,0.00034238365547007,0.0034238365547007,23.4375,20.7198009490967,27.4286003112793,1.39999997615814,2,0.291314104269348,0.232381403446198,0.112218946218491,0.426596313714981
"[-13,-12)",27007,1.75050832230081,1.70000004768372,0.42468460911851,30.0833333333333,0.000343417047184171,0.0034341704718417,23.7252998352051,20.9365997314453,27.7901992797852,1.39999997615814,2,0.297965621326103,0.237384185194969,0.115567117929459,0.438087403774261
"[-12,-11)",20641,1.77411849892282,1.70000004768372,0.43509406711971,30.0534246575343,0.000343075623944455,0.00343075623944455,23.6340007781982,20.8670501708984,27.9930000305176,1.42999994754791,2.02999997138977,0.310062445481923,0.251825928688049,0.11789982020855,0.465019881725311
"[-11,-10)",16624,1.80896264206371,1.74000000953674,0.443417797677937,29.9956050228311,0.000342415582452409,0.00342415582452409,23.5970001220703,20.9365997314453,27.8159008026123,1.49000000953674,2.09999990463257,0.327248602845095,0.27080962061882,0.129990380257368,0.494052052497864
"[-10,-9)",15754,1.83598482563015,1.79999995231628,0.446910211763216,29.985901826484,0.000342304815370822,0.00342304815370822,23.8023500442505,20.8208999633789,28.1625003814697,1.5,2.09999990463257,0.341645251431415,0.294434577226639,0.138824850320816,0.506564736366272
"[-9,-8)",16580,1.85250421907344,1.79999995231628,0.452982765763278,30.0312785388128,0.000342822814370009,0.00342822814370009,23.4375,20.7031002044678,27.8513746261597,1.5,2.16000008583069,0.350923056130615,0.304594963788986,0.142507553100586,0.529194355010986
"[-8,-7)",17942,1.86845111669193,1.79999995231628,0.450099424263463,30.0833333333333,0.000343417047184171,0.00343417047184171,23.5330009460449,20.8208999633789,28.0064001083374,1.50999999046326,2.16000008583069,0.359048810545455,0.313964337110519,0.159047290682793,0.533651649951935
"[-7,-6)",19679,1.89115528881298,1.8400000333786,0.457660315128304,30.1465753424658,0.000344138987927691,0.00344138987927691,23.6001749038696,20.7611999511719,27.6816997528076,1.53999996185303,2.20000004768372,0.37146365370988,0.331941336393356,0.166318260133266,0.557744085788727
"[-6,-5)",22397,1.90829746206151,1.87999999523163,0.456870146839364,30.0665525114155,0.000343225485290132,0.00343225485290132,23.7332000732422,20.8079748153687,27.8852005004883,1.58000004291534,2.20000004768372,0.380400032395794,0.345783233642578,0.172811567783356,0.565796673297882
"[-5,-4)",25630,1.92290915172716,1.89999997615814,0.462845795164958,30.1017694063927,0.000343627504639186,0.00343627504639186,23.8281002044678,20.9628659354316,27.9238374233246,1.60000002384186,2.21000003814697,0.388028561477406,0.356858521699905,0.175655469298363,0.578260540962219
"[-4,-3)",27898,1.94367624485661,1.89999997615814,0.465213015641814,30.1488584474886,0.000344165050770418,0.00344165050770418,23.9188003540039,21.0480003356934,28.2077994346619,1.60000002384186,2.27999997138977,0.399167506184364,0.370786666870117,0.184476852416992,0.592323258519173
"[-3,-2)",28261,1.95644509714081,1.89999997615814,0.465897955999335,30.1844748858448,0.000344571631116949,0.00344571631116949,24.0465335845947,21.0962009429932,28.7322575705392,1.60000002384186,2.29999995231628,0.406690566283185,0.374159693717957,0.19623638689518,0.605713486671448
"[-2,-1)",26202,1.96519082108555,1.89999997615814,0.466948783444108,30.1929223744292,0.000344668063635037,0.00344668063635037,24.1897996266683,21.0937995910645,28.9062995910645,1.60000002384186,2.29999995231628,0.410905285293713,0.386748492717743,0.19623638689518,0.607909083366394
"[-1,0)",91706,1.93114376057101,1.89999997615814,0.471952564055481,29.9419520547945,0.000341803105648339,0.00341803105648339,24.2810001373291,21.2245006561279,28.9811000823975,1.58000004291534,2.25999999046326,0.389029032490766,0.355747848749161,0.173898428678513,0.583806037902832
